Entity,Code,Year,Latest observed data,UN 1968 Revision,UN 1973 Revision,UN 1982 Revision,UN 1980 Revision,UN 1984 Revision,UN 1990 Revision,UN 1998 Revision,UN 2017 Revision,UN 2019 Revision,UN 2022 Revision
World,OWID_WRL,1950,2499322112,,,,,,,,,,
World,OWID_WRL,1955,2746072064,,,,,,,,,,
World,OWID_WRL,1960,3019233536,,,,,,,,,,
World,OWID_WRL,1965,3337112064,,,,,,,,,,
World,OWID_WRL,1970,3695390208,3631789000,,,,,,,,,
World,OWID_WRL,1975,4069437184,,3967864000,,,,,,,,
World,OWID_WRL,1980,4444007936,4456688000,4374110000,,,,,,,,
World,OWID_WRL,1985,4861730816,,4816537000,4842048000,4826328000,4836645000,,,,,
World,OWID_WRL,1990,5316175872,5438169000,5280017000,5248485000,5241911000,5246209000,,,,,
World,OWID_WRL,1995,5743219712,,5762564000,5679251000,5677246000,5677574000,5770000000,,,,
World,OWID_WRL,2000,6148898816,6493642000,6254377000,6127117000,6118850000,6121813000,6261000000,6055049000,,,
World,OWID_WRL,2005,6558176256,,,,,,6739000000,6429397000,,,
World,OWID_WRL,2010,6985603072,,,6994741000,,6989128000,7204000000,6794773000,,,
World,OWID_WRL,2015,7426597376,,,,,,7660000000,7154366000,,,
World,OWID_WRL,2020,7840952832,,,7805747000,,7822193000,8092000000,7501521000,7795482309,7794798725,
World,OWID_WRL,2025,,,,8177052000,,8205765000,8504000000,7823703000,8185613757,8184437453,8191988224
World,OWID_WRL,2030,,,,,,,,8111980000,8551198644,8548487367,8546141184
World,OWID_WRL,2040,,,,,,,,8576540000,9210337004,9198847382,9188250624
World,OWID_WRL,2050,,,,,,,,8909095000,9771822753,9735033898,9709492224
World,OWID_WRL,2035,,,,,,,,,8892701940,8887524228,8879397888
World,OWID_WRL,2045,,,,,,,,,9504209572,9481803269,9467543552
World,OWID_WRL,2055,,,,,,,,,,,9908304896
World,OWID_WRL,2060,,,,,,,,,,,10067733504
World,OWID_WRL,2065,,,,,,,,,,,10195964928
World,OWID_WRL,2070,,,,,,,,,,,10297166848
World,OWID_WRL,2075,,,,,,,,,,,10370994176
World,OWID_WRL,2080,,,,,,,,,,,10414637056
World,OWID_WRL,2085,,,,,,,,,,,10430679040
World,OWID_WRL,2090,,,,,,,,,,,10423540736
World,OWID_WRL,2095,,,,,,,,,,,10396305408
World,OWID_WRL,2100,,,,,,,,,,,10349323264